Type,Key,Title,Epic,Milestone,Priority,Labels,AsA,IWant,SoThat,Acceptance,Refs,DependsOn
Story,INSPECTION-PACK,Inspection-readiness pack & governance hub,PRD-08,"M5 · Reporting & apps (PRD-08, PRD-09)",P2,type:story PRD-08 phase:1 area:web compliance,owner,a one-click pack that assembles the evidence an inspector would ask for,we're always inspection-ready,"The pack assembles consent coverage, the S4 register, registration/insurance status, IPC/waste logs and registers. | Policies & procedures sign-off is tracked in the hub. | DSAR (APP 12/13) and a breach drill are runnable from the hub. | Pack generation is audited.","REQ: REQ-RPT-7, REQ-SEC-8, REQ-SEC-9 · Compliance: C10 · ADR: ADR-0030",PRD-08/COMPLIANCE-DASH
Story,REPORT-BUILDER,Custom report builder / external BI (placeholder),PRD-08,"M5 · Reporting & apps (PRD-08, PRD-09)",P2,type:story PRD-08 phase:2plus area:web,owner,to build custom reports and benchmark against other clinics,I can answer bespoke questions,Placeholder — Phase 2+; v1 ships fixed dashboards + exports. | Captured so the read-model layer stays export-friendly.,REQ: REQ-RPT-1,
Epic,PRD-09,Apps (Flutter): client & provider,,"M5 · Reporting & apps (PRD-08, PRD-09)",,type:epic PRD-09 phase:1 area:client-app area:provider-app,,,,,,
Story,CLIENT-JOURNEY,Client app: book → intake → consent journey,PRD-09,"M5 · Reporting & apps (PRD-08, PRD-09)",P1,type:story PRD-09 phase:1 area:client-app,client,"to book, complete intake and e-sign consent entirely in the app",I'm ready for my visit without paperwork,"A client completes book → intake → consent (incl. image-use) fully in-app. | Surfaces PRD-02 booking and PRD-03 intake/consent. | Sign-in via social/email/OTP, tenant-scoped. | Reminders/recall (PRD-07) are received in-app.","REQ: REQ-APP-1 · ADR: ADR-0004 · PRD AC: AC1, AC4",PRD-02/ONLINE-BOOK PRD-03/CONSENT
Story,CLIENT-CARE,"Client app: my care, memberships, rewards & card-on-file",PRD-09,"M5 · Reporting & apps (PRD-08, PRD-09)",P2,type:story PRD-09 phase:1 area:client-app,client,"to view my photos, memberships, rewards and balance and add a card-on-file",I can self-serve my care and payments,"Consent-gated before/after photo viewing. | Memberships, rewards/perks and balances visible. | Card-on-file can be added in-app (feeds PRD-06 autopay). | No one-off online checkout is exposed.",REQ: REQ-APP-1 · Compliance: C14 · PRD AC: AC5,PRD-06/MEMBERSHIP PRD-05/PHOTOS
Story,CLIENT-PRIVACY,"Client app: account, privacy & access/correction",PRD-09,"M5 · Reporting & apps (PRD-08, PRD-09)",P2,type:story PRD-09 phase:1 area:client-app compliance,client,"an account area where I can see my data, know it stays in Australia, and request access or correction",I'm in control of my information,"Account shows profile, balances and card-on-file. | 'Your data & privacy' shows the residency note and access-copy/correction actions (PRD-01). | Requests are tracked to resolution. | Actions are audited.",REQ: REQ-APP-1 · Compliance: C21,PRD-01/PRIVACY-RIGHTS
Story,PROVIDER-DAY,Provider app: day schedule & open patient,PRD-09,"M5 · Reporting & apps (PRD-08, PRD-09)",P1,type:story PRD-09 phase:1 area:provider-app,injector/prescriber,to see my day and open a patient with consult/consent status shown before I chart,I work room-side with the right context and gates,"Schedule shows the practitioner's day; opening a patient shows consult+consent status. | Provider signs in via Entra SSO, tenant-scoped. | The consult+consent gate (PRD-03/04) is enforced before charting opens. | Quick links to map/photos/finalise.",REQ: REQ-APP-2 · ADR: ADR-0004 · PRD AC: AC1,PRD-05/NOTE-TEMPLATE
Story,PROVIDER-ROOMSIDE,"Provider app: room-side charting, camera & finalise",PRD-09,"M5 · Reporting & apps (PRD-08, PRD-09)",P1,type:story PRD-09 phase:1 area:provider-app compliance,injector,"to map injections, capture photos and finalise the chart room-side",the full clinical record is captured at the chair,"Provider app surfaces PRD-05 mapping/photos and PRD-04 consult/Rx/administration. | Photos capture to central storage via signed URLs; none persist on device after sync (C14). | Finalisation is server-side; once finalised the entry is read-only. | Thumb-first, gloves-on usability (UX §1).","REQ: REQ-APP-2 · Compliance: C14 · ADR: ADR-0009 · PRD AC: AC2, AC6",PRD-05/MAPPING PRD-05/PHOTOS
Story,PROVIDER-OFFLINE,Provider app: offline-tolerant workflows + sync indicator,PRD-09,"M5 · Reporting & apps (PRD-08, PRD-09)",P1,type:story PRD-09 phase:1 area:provider-app,injector,the app to keep working offline and clearly show my sync state,treatment-room Wi-Fi drops never cost me data,Charting/photos queue locally (encrypted) offline and sync on reconnect with no loss. | Persistent indicator shows queued-items count + last-sync time. | Finalise is disabled until synced. | Built on SPIKE-OFFLINE and PRD-05/OFFLINE.,REQ: REQ-APP-3 · ADR: ADR-0015 · PRD AC: AC3,PRD-05/OFFLINE
Story,APP-DISTRIBUTION,App distribution & code-push posture,PRD-09,"M5 · Reporting & apps (PRD-08, PRD-09)",P2,type:story PRD-09 phase:1 area:client-app area:provider-app,mobile developer,a store-distribution and (where viable) code-push pipeline for both apps,we can ship and patch the apps responsibly,Both apps distribute via internal/store channels from CI. | Code-push viability for the compliance posture is assessed and documented. | Versioning + minimum-supported-version handling in place. | Crash/usage telemetry feeds observability.,"REQ: REQ-APP-1, REQ-APP-2 · ADR: ADR-0006",SPRINT-0/FLUTTER
Epic,PRD-10,Integrations: Xero & calendar,,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",,type:epic PRD-10 phase:1 area:integration area:backend,,,,,,
Story,XERO,Xero invoice/payment sync,PRD-10,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P1,type:story PRD-10 phase:1 area:integration,owner,completed sales/payments to post to Xero with the right account and GST,my books reconcile without re-keying,A completed sale creates the corresponding Xero invoice + payment with correct account + GST. | Failures retry and show a reconciliation status. | Services vs retail vs memberships map to the right accounts (defaults are an open question). | Implemented behind IAccountingExport (swappable).,"REQ: REQ-INT-1 · ADR: ADR-0012 · PRD AC: AC1, AC4",PRD-06/POS
Story,CALENDAR-SYNC,Two-way calendar sync (M365 / Google),PRD-10,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P2,type:story PRD-10 phase:1 area:integration,practitioner,my appointments to appear in Outlook/Google and external busy-time to block my availability,I have one source of truth for my time,Creating/moving/cancelling an appointment reflects in the linked Outlook/Google calendar and vice-versa. | External busy events block availability in booking (PRD-02). | Per-staff opt-in and conflict-resolution rules (open question) supported. | Implemented behind ICalendarProvider (swappable).,"REQ: REQ-INT-2 · ADR: ADR-0012 · PRD AC: AC2, AC4",PRD-02/CALENDAR
Story,SUBPROCESSOR-POSTURE,Sub-processor residency posture (APP-8),PRD-10,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P2,type:story PRD-10 phase:1 area:integration compliance,owner,assurance that any data leaving the platform goes only to AU-resident or APP-8-assessed sub-processors,integrations don't breach cross-border rules,No integration sends PII to a non-AU sub-processor unless an APP-8 assessment + consent record exists. | Sub-processor data flows are registered. | All integrations are outbound and swappable. | Ties into PRD-01/RESIDENCY enforcement.,REQ: REQ-INT-3 · Compliance: C21 · ADR: ADR-0016 · PRD AC: AC3,PRD-01/RESIDENCY
Story,INTEGRATIONS-LATER,"Online checkout, e-prescribing, webhooks/API (placeholder)",PRD-10,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P2,type:story PRD-10 phase:2plus area:integration,owner,"future integrations: online checkout/deposits, e-prescribing and a public API",the platform extends as we scale,"Placeholder — Phase 2/3; each behind its existing port (IPaymentProvider, IPrescribingProvider). | S4 is never priced or sold online (invariant carried forward). | Medicare/HICAPS recorded as non-applicable to cosmetic. | e-prescribing flagged for feasibility validation.","REQ: REQ-INT-4, REQ-INT-5, REQ-INT-6, REQ-INT-7 · ADR: ADR-0035, ADR-0036",
Epic,PRD-11,"Facility, infection-control, emergency & complaints",,M6 · Facility & complaints (PRD-11),,type:epic PRD-11 phase:1 area:web area:backend,,,,,,
Story,FACILITY,Facility accreditation & expiry alerts,PRD-11,M6 · Facility & complaints (PRD-11),P2,type:story PRD-11 phase:1 area:web compliance,owner,to record facility accreditation and be alerted before it expires,we never lapse on accreditation,Per-location accreditation status recorded. | Expiry alerts fire before lapse. | Whether accreditation is blocking or advisory is configurable (open question). | Records are audited.,REQ: REQ-FAC-1 · Compliance: C20 · PRD AC: AC1,
Story,IPC-LOGS,Infection-control & waste logs,PRD-11,M6 · Facility & complaints (PRD-11),P2,type:story PRD-11 phase:1 area:web compliance,staff member,to keep infection-control logs for sterilisation/single-use and sharps/clinical-waste disposal,we evidence safe practice,Sterilisation/single-use and sharps/clinical-waste disposals can be logged and are audited. | Logs are retrievable for inspection (feeds PRD-08 pack). | A twice-daily cold-chain log with a breach pathway is supported (links PRD-04 cold-chain). | Waste manifests/sterilisation register are captured for v2 expansion.,REQ: REQ-FAC-2 · Compliance: C20 · PRD AC: AC2,
Story,EMERGENCY-KIT,Emergency kit & continuity-of-care,PRD-11,M6 · Facility & complaints (PRD-11),P2,type:story PRD-11 phase:1 area:web compliance,owner,to track the emergency kit with expiry alerts and record a continuity-of-care contact,we're prepared for complications and cover when a prescriber is unavailable,"Emergency-kit items (incl. hyaluronidase, anaphylaxis) raise expiry alerts before lapse. | A continuity-of-care contact is recorded and visible when the treating practitioner/prescriber is unavailable. | Emergency/complication protocol links are surfaced. | Ties into the complication-response flow (PRD-05).","REQ: REQ-FAC-3 · Compliance: C20 · PRD AC: AC1, AC4",
Story,COMPLAINTS,Complaints register with AHPRA pathway,PRD-11,M6 · Facility & complaints (PRD-11),P1,type:story PRD-11 phase:1 area:web compliance,manager,to log a complaint against a client/treatment and have the system surface the AHPRA pathway,complaints are handled correctly and retained,"A complaint links to the client/treatment and surfaces complaint mechanisms incl. AHPRA (noting NDA doesn't remove the right). | A complaint flag drives indefinite retention of the related record (C18, PRD-01). | Complaints feed the register/reporting (PRD-08). | A complaint can be raised from a conversation (links PRD-07).","REQ: REQ-CLI-4 · Compliance: C24, C18 · PRD AC: AC3",
Story,FAC-WORKFLOWS,Fuller facility workflows (placeholder),PRD-11,M6 · Facility & complaints (PRD-11),P2,type:story PRD-11 phase:2plus area:web,owner,"fuller facility workflows: checklists, maintenance registers and incident case management",operations and safety are fully systematised,Placeholder — v1 is lightweight registers; these workflows are Phase 2. | Captured so the facility model anticipates them.,"REQ: REQ-FAC-4, REQ-FAC-10 · ADR: ADR-0026, ADR-0030",
Epic,PHASE-2,Phase 2+ / scale (cross-cutting placeholders),,M7 · Phase 2+ (later / placeholders),,type:epic PHASE-2 phase:2plus area:backend,,,,,,
Story,MULTI-LOCATION,Multi-location switching UI (placeholder),PHASE-2,M7 · Phase 2+ (later / placeholders),P2,type:story PHASE-2 phase:2plus area:web,owner of multiple sites,to switch between locations in one place,I run several clinics from one login,Placeholder — Phase 2+; data model already carries Location. | Captured so reporting/booking stay location-aware.,REQ: REQ-TEN-1,
Story,SAAS-ONBOARDING,SaaS onboarding & billing UI (placeholder),PHASE-2,M7 · Phase 2+ (later / placeholders),P2,type:story PHASE-2 phase:2plus area:backend,prospective clinic,to sign up for the platform myself and pay a subscription,onboarding doesn't need manual provisioning,Placeholder — Phase 3; v1 provisions tenants manually. | Captured so tenancy/identity stay SaaS-ready.,"REQ: REQ-TEN-1, REQ-TEN-2",
Story,WHITE-LABEL,Per-tenant white-label theming (placeholder),PHASE-2,M7 · Phase 2+ (later / placeholders),P2,type:story PHASE-2 phase:2plus area:design,clinic owner,to brand the platform with my clinic's look,clients see my brand,Placeholder — Phase 2+; design tokens are themeable by construction. | Captured so the design system stays token-driven.,REQ: REQ-TEN-1,
Story,PUBLIC-API,Public API & webhooks (placeholder),PHASE-2,M7 · Phase 2+ (later / placeholders),P2,type:story PHASE-2 phase:2plus area:integration,integrator,a public API and webhooks,third-party tools can integrate,Placeholder — Phase 3; internal API is OpenAPI-described already. | Captured so the API stays contract-first.,REQ: REQ-INT-3,
Story,NATIVE-POS-KIOSK,Native POS hardware & tablet kiosk mode (placeholder),PHASE-2,M7 · Phase 2+ (later / placeholders),P2,type:story PHASE-2 phase:2plus area:web,front desk,native POS hardware and a kiosk check-in mode,the desk and waiting room are smoother,Placeholder — Phase 2+; v1 uses Square card-present + in-app flows. | Captured so checkout/check-in stay hardware-friendly.,"REQ: REQ-PAY-2, REQ-APP-1",
